,Unnamed: 0,trial_num,image,is_repeat,type,Image Index,Block,Onset,Offset,Response,RT
140,140,141,T4_5,False,target,Target-673,1,353.68686389923096,355.70307993888855,0.0,0.7164959907531738
141,141,142,T3_14,True,target,Filler-824,1,356.20434403419495,358.21952295303345,1.0,1.0333218574523926
142,142,143,F_S6,False,filler,Target-1905,1,358.72062587738037,360.73692202568054,0.0,0.6492879390716553
143,143,144,T3_4,True,target,Filler-7648,1,361.2513828277588,363.25352001190186,1.0,1.118812084197998
144,144,145,T1_15,True,target,Filler-4621,1,363.77006697654724,365.78624296188354,1.0,0.916740894317627
145,145,146,T4_1,True,target,Filler-5957,1,366.3031949996948,368.31993985176086,0.0,0.9997520446777344
146,146,147,F_S15,False,filler,Target-2159,1,368.83655285835266,370.8531210422516,0.0,0.6994509696960449
147,147,148,F_S10,False,filler,Target-2046,1,371.36985898017883,373.37002086639404,0.0,0.9164328575134277
148,148,149,T4_3,True,target,Filler-4460,1,373.8866250514984,375.9023458957672,1.0,1.0665998458862305
149,149,150,T4_15,True,target,Filler-7486,1,376.4027190208435,378.41915702819824,1.0,0.7668838500976562
